date,mpr,inflation,exchange_rate,money_supply_m2
2010-01,6.00,12.8,150.3,9234.5
2010-02,6.00,13.0,150.5,9312.3
2010-03,6.00,13.6,150.8,9401.2
2010-04,6.00,12.5,151.0,9489.7
2010-05,6.00,13.2,151.2,9578.9
2010-06,6.00,13.7,151.5,9668.4
2010-07,6.25,13.2,151.8,9758.2
2010-08,6.25,13.6,152.0,9848.6
2010-09,6.25,13.9,152.3,9939.1
2010-10,6.25,13.4,152.5,10030.8
2010-11,6.25,12.8,152.8,10123.4
2010-12,6.25,11.8,153.0,10216.9
2011-01,6.50,12.1,153.3,10311.2
2011-02,6.50,12.8,153.5,10406.7
2011-03,6.50,12.8,153.8,10503.1
2011-04,7.50,11.3,154.0,10600.4
2011-05,7.50,12.4,154.3,10698.8
2011-06,8.00,10.2,154.5,10798.1
2011-07,8.75,9.4,154.8,10898.5
2011-08,9.25,9.3,155.0,10999.8
2011-09,9.25,10.3,155.3,11102.3
2011-10,12.00,10.5,155.5,11205.8
2011-11,12.00,10.3,155.8,11310.4
2011-12,12.00,10.3,156.0,11416.1
2012-01,12.00,12.6,156.3,11522.9
2012-02,12.00,11.9,156.5,11630.8
2012-03,12.00,12.0,156.8,11739.9
2012-04,12.00,12.9,157.0,11850.1
2012-05,12.00,12.7,157.3,11961.5
2012-06,12.00,12.1,157.5,12074.0
2012-07,12.00,11.7,157.8,12187.7
2012-08,12.00,11.7,158.0,12302.7
2012-09,12.00,11.3,158.3,12418.8
2012-10,12.00,11.5,158.5,12536.2
2012-11,12.00,12.3,158.8,12654.8
2012-12,12.00,12.0,159.0,12774.7
2013-01,12.00,9.0,159.3,12895.9
2013-02,12.00,9.5,159.5,13018.4
2013-03,12.00,8.6,159.8,13142.1
2013-04,12.00,9.1,160.0,13267.2
2013-05,12.00,9.0,160.3,13393.6
2013-06,12.00,8.4,160.5,13521.4
2013-07,12.00,8.0,160.8,13650.5
2013-08,12.00,8.2,161.0,13781.1
2013-09,12.00,8.0,161.3,13913.0
2013-10,12.00,7.8,161.5,14046.4
2013-11,12.00,8.0,161.8,14181.3
2013-12,12.00,8.0,162.0,14317.6
2014-01,12.00,8.0,162.3,14455.4
2014-02,12.00,8.1,162.5,14594.8
2014-03,12.00,8.0,162.8,14735.7
2014-04,12.00,8.0,163.0,14878.2
2014-05,12.00,8.1,163.3,15022.3
2014-06,12.00,8.2,163.5,15168.0
2014-07,12.00,8.3,163.8,15315.4
2014-08,12.00,8.3,164.0,15464.4
2014-09,12.00,8.2,164.3,15615.2
2014-10,12.50,8.1,165.5,15767.6
2014-11,13.00,8.0,168.8,15921.8
2014-12,13.00,8.0,172.0,16077.8
2015-01,13.00,8.4,175.3,16235.5
2015-02,13.00,8.8,178.5,16395.0
2015-03,13.00,8.5,181.8,16556.4
2015-04,13.00,8.7,185.0,16719.6
2015-05,13.00,9.0,188.3,16884.7
2015-06,13.00,9.2,191.5,17051.7
2015-07,13.00,9.3,194.8,17220.7
2015-08,13.00,9.4,198.0,17391.6
2015-09,13.00,9.4,201.3,17564.6
2015-10,13.00,9.3,204.5,17739.6
2015-11,13.00,9.4,207.8,17916.7
2015-12,11.00,9.6,211.0,18095.9
2016-01,11.00,9.6,214.3,18277.2
2016-02,11.00,11.4,217.5,18460.7
2016-03,12.00,12.8,253.5,18646.3
2016-04,12.00,13.7,280.8,18834.2
2016-05,12.00,15.6,305.2,19024.3
2016-06,12.00,16.5,320.5,19216.8
2016-07,14.00,17.1,325.8,19411.6
2016-08,14.00,17.6,330.2,19608.8
2016-09,14.00,17.9,334.5,19808.4
2016-10,14.00,18.3,338.8,20010.6
2016-11,14.00,18.5,343.2,20215.3
2016-12,14.00,18.6,347.5,20422.6
2017-01,14.00,18.7,351.8,20632.5
2017-02,14.00,17.8,356.2,20845.1
2017-03,14.00,17.2,360.5,21060.4
2017-04,14.00,17.2,364.8,21278.5
2017-05,14.00,16.2,360.0,21499.5
2017-06,14.00,16.1,360.3,21723.4
2017-07,14.00,16.0,360.5,21950.2
2017-08,14.00,16.0,360.8,22180.0
2017-09,14.00,15.9,361.0,22412.8
2017-10,14.00,15.9,361.3,22648.7
2017-11,14.00,15.8,361.5,22887.7
2017-12,14.00,15.4,361.8,23129.9
2018-01,14.00,15.1,362.0,23375.3
2018-02,14.00,14.3,362.3,23623.9
2018-03,14.00,13.3,362.5,23875.9
2018-04,14.00,12.4,362.8,24131.2
2018-05,14.00,12.6,363.0,24389.9
2018-06,14.00,12.4,363.3,24652.1
2018-07,14.00,11.2,363.5,24917.8
2018-08,14.00,11.3,363.8,25187.1
2018-09,14.00,11.3,364.0,25460.0
2018-10,14.00,11.3,364.3,25736.7
2018-11,14.00,11.4,364.5,26017.1
2018-12,14.00,11.4,364.8,26301.3
2019-01,14.00,11.4,365.0,26589.3
2019-02,13.50,11.3,365.3,26881.3
2019-03,13.50,11.3,365.5,27177.3
2019-04,13.50,11.4,365.8,27477.4
2019-05,13.50,11.4,366.0,27781.5
2019-06,13.50,11.2,366.3,28089.9
2019-07,13.50,11.1,366.5,28402.6
2019-08,13.50,11.0,366.8,28719.6
2019-09,13.50,11.2,367.0,29041.1
2019-10,13.50,11.6,367.3,29367.1
2019-11,13.50,11.9,367.5,29697.6
2019-12,13.50,11.9,367.8,30032.8
2020-01,13.50,12.1,368.0,30372.7
2020-02,13.50,12.2,368.3,30717.5
2020-03,13.50,12.3,368.5,31067.1
2020-04,12.50,12.3,385.0,31421.8
2020-05,12.50,12.4,390.5,31781.6
2020-06,12.50,12.6,396.0,32146.6
2020-07,12.50,12.8,401.5,32516.9
2020-08,12.50,13.2,407.0,32892.5
2020-09,12.50,13.7,412.5,33273.6
2020-10,11.50,14.2,418.0,33660.2
2020-11,11.50,14.9,423.5,34052.5
2020-12,11.50,15.8,429.0,34450.5
2021-01,11.50,16.5,434.5,34854.3
2021-02,11.50,17.3,440.0,35264.1
2021-03,11.50,18.2,445.5,35680.0
2021-04,11.50,18.1,451.0,36102.0
2021-05,11.50,17.9,456.5,36530.3
2021-06,11.50,17.8,462.0,36965.0
2021-07,11.50,17.4,467.5,37406.2
2021-08,11.50,17.0,473.0,37854.0
2021-09,11.50,16.6,478.5,38308.5
2021-10,11.50,16.0,484.0,38769.8
2021-11,11.50,15.9,489.5,39238.1
2021-12,11.50,15.6,495.0,39713.5
2022-01,11.50,15.6,500.5,40196.1
2022-02,11.50,15.7,506.0,40685.9
2022-03,11.50,15.9,511.5,41183.2
2022-04,11.50,16.8,517.0,41687.9
2022-05,13.00,17.7,522.5,42200.3
2022-06,13.00,18.6,528.0,42720.4
2022-07,14.00,19.6,533.5,43248.4
2022-08,14.00,20.5,539.0,43784.4
2022-09,15.50,20.8,544.5,44328.7
2022-10,16.50,21.1,550.0,44881.3
2022-11,16.50,21.5,555.5,45442.5
2022-12,16.50,21.3,561.0,46012.4
2023-01,17.50,21.8,566.5,46591.2
2023-02,17.50,21.9,572.0,47179.1
2023-03,18.00,22.0,577.5,47776.2
2023-04,18.00,22.2,583.0,48382.8
2023-05,18.50,22.4,588.5,48999.0
2023-06,18.75,22.8,625.0,49625.1
2023-07,18.75,24.1,755.0,50261.2
2023-08,18.75,25.8,765.0,50907.6
2023-09,18.75,26.7,775.0,51564.4
2023-10,18.75,27.3,785.0,52231.9
2023-11,18.75,28.2,795.0,52910.2
2023-12,18.75,28.9,805.0,53599.5
2024-01,22.75,29.9,815.0,54300.0
2024-02,22.75,31.7,825.0,55012.0
