,coeff,std_err,t_stat,p_value
const,0.699183,0.931504,0.7506,0.454
Inflation.L1,-0.085655,0.051813,-1.6531,0.1002
MPR.L1,-0.052934,0.034924,-1.5157,0.1315
ExchangeRate.L1,0.003406,0.003395,1.0034,0.3171
M2.L1,5.2e-05,0.000134,0.3898,0.6972
D.Inflation.L1,0.213952,0.127736,1.6749,0.0959
D.Inflation.L2,-0.157911,0.127719,-1.2364,0.2181
D.Inflation.L3,0.268705,0.129288,2.0783,0.0392
D.MPR.L0,0.235444,0.153401,1.5348,0.1268
D.MPR.L1,0.379948,0.152222,2.496,0.0135
D.ExchangeRate.L0,0.01286,0.007975,1.6126,0.1087
D.ExchangeRate.L1,0.013551,0.008229,1.6469,0.1015
D.M2.L0,-0.004796,0.008719,-0.55,0.5831
