horizon,MPR,ExchangeRate,M2,Inflation
1,0.01508982213253247,0.014877834450255562,0.0002196142278480721,0.9698127291893639
2,0.02960298321195733,0.051929847538172216,0.0016724007317518485,0.9167947685181184
3,0.046649134059178296,0.10857226492046204,0.0043350344065301695,0.8404435666138294
4,0.07405503424270692,0.15712376307801948,0.012779601931022651,0.7560416007482509
5,0.08211900082752184,0.1987631374586873,0.01699063145141884,0.7021272302623719
6,0.08590615045096472,0.2230302542752479,0.017061015942058368,0.6740025793317289
7,0.09864586255046107,0.22971854446551868,0.01849071462032224,0.6531448783636981
8,0.11248950632184543,0.2528475811067831,0.024728116218736836,0.6099347963526345
9,0.1210659872552657,0.2859352085392335,0.024997318589584153,0.5680014856159166
10,0.13820239284469657,0.3130752356220668,0.02626998680532811,0.5224523847279083
11,0.15127218939708093,0.3351858721131287,0.027983746397571414,0.4855581920922188
12,0.16097369256958896,0.3429218559363691,0.029066554045005636,0.4670378974490362
13,0.1683250153258466,0.34154115900070053,0.028735083603276,0.46139874207017684
14,0.17418699244326433,0.34093378887282494,0.028675361628706306,0.45620385705520416
15,0.17987491043326442,0.3389472691563811,0.028408033937976217,0.45276978647237814
16,0.18471130676701333,0.338192949423402,0.028094835072631878,0.4490009087369527
17,0.18741591693831217,0.33700436637920467,0.02785465402592372,0.44772506265655926
18,0.18902926046221855,0.33490516786162583,0.027717532371028846,0.4483480393051266
19,0.18920238352988136,0.33323173013550883,0.027702915007303052,0.44986297132730674
20,0.18832528703290607,0.33289654942444263,0.028126361716564893,0.45065180182608644
21,0.18707436102400757,0.3342007347416768,0.028910350904580752,0.4498145533297349
22,0.1858763043548779,0.3367253875716656,0.030036428186891957,0.44736187988656456
23,0.1848554284875805,0.3405533201213438,0.031615826299841304,0.4429754250912345
24,0.18422474859345134,0.34573775767159226,0.03336982594405847,0.4366676677908981
