horizon,MPR,ExchangeRate,M2,Inflation
1,0.002544802600142074,0.010481165932224146,0.9869740314676337,0.0
2,0.000811443419736167,0.02381342388952068,0.9444200129594734,0.03095511973126975
3,0.0014167430512822576,0.0296498316519389,0.9545274729721228,0.014405952324656034
4,0.005108961231461585,0.037384006737623224,0.9461660713743437,0.011340960656571381
5,0.01130583851597755,0.043571188765704344,0.9381074131714847,0.007015559546833107
6,0.018961289045215424,0.04836925287340494,0.928135866181448,0.004533591899931526
7,0.02644050361961166,0.05088757316278648,0.9200768483388694,0.002595074878732584
8,0.03514415381283921,0.055251196515243975,0.9078769279777021,0.001727721694214631
9,0.0441937100556987,0.059525837919620884,0.8941734035668323,0.002107048457848077
10,0.05446644408483461,0.0637169528031429,0.8780731352280176,0.0037434678840047517
11,0.06478689247044515,0.06948315821200315,0.8594793502306061,0.006250599086945479
12,0.07561297820129555,0.0759248699436447,0.8388701844967158,0.009591967358343872
13,0.0866776295571008,0.08298692309504077,0.8167951348992333,0.013540312448625053
14,0.09809576824947655,0.09077846088428404,0.7930877967038354,0.01803797416240397
15,0.10939020416156543,0.09912998015274037,0.768749409665873,0.022730406019821202
16,0.12043412545822045,0.108034789500815,0.7439505152920294,0.0275805697489351
17,0.1312096359343631,0.11709822335014626,0.7192767757610858,0.0324153649544048
18,0.14150127842056742,0.12639374310066595,0.6950254860917254,0.03707949238704115
19,0.15129474582948696,0.13542267751761375,0.6716571779468141,0.04162539870608511
20,0.16051374783292738,0.14434117973020189,0.6492030912829281,0.045941981153942636
21,0.16916894328590332,0.15280691730825172,0.6279870607411489,0.050037078664696095
22,0.17730608412769477,0.16077213999872897,0.6079835483178011,0.0539382275557752
23,0.18494362356176405,0.1681316511710828,0.5892922076397661,0.05763251762738719
24,0.1921073999117202,0.17488201229334582,0.5718799745331301,0.061130613261804
