horizon,variable,RMSE,MAE,MAPE
1,MPR,1.5011,0.8696,5.21
1,ExchangeRate,46.0094,20.3884,3.05
1,M2,514.1765,502.8585,1.2
1,Inflation,1.0887,0.792,4.23
3,MPR,2.5397,1.6445,9.79
3,ExchangeRate,196.3028,59.8281,8.39
3,M2,530.3039,518.4953,1.21
3,Inflation,4.4275,2.0791,9.83
6,MPR,7.7163,3.3633,18.52
6,ExchangeRate,962.8133,194.3067,25.07
6,M2,555.6514,543.0525,1.22
6,Inflation,27.1803,6.8111,25.74
12,MPR,138.8835,24.7433,100.54
12,ExchangeRate,15797.2011,2361.0196,269.09
12,M2,607.4192,592.9345,1.24
12,Inflation,491.5736,76.6893,240.54
