dependent,independent,t_statistic,p_value,critical_values,cointegrated
MPR,ExchangeRate,-2.6269,0.2269,"{'1%': -3.958, '5%': -3.37, '10%': -3.068}",False
MPR,M2,-2.0602,0.4972,"{'1%': -3.958, '5%': -3.37, '10%': -3.068}",False
MPR,Inflation,-2.1102,0.4711,"{'1%': -3.958, '5%': -3.37, '10%': -3.068}",False
ExchangeRate,MPR,-1.5873,0.7262,"{'1%': -3.958, '5%': -3.37, '10%': -3.068}",False
ExchangeRate,M2,-2.0175,0.5194,"{'1%': -3.958, '5%': -3.37, '10%': -3.068}",False
ExchangeRate,Inflation,-1.4467,0.7811,"{'1%': -3.958, '5%': -3.37, '10%': -3.068}",False
M2,MPR,-1.6311,0.7076,"{'1%': -3.958, '5%': -3.37, '10%': -3.068}",False
M2,ExchangeRate,-2.1327,0.4593,"{'1%': -3.958, '5%': -3.37, '10%': -3.068}",False
M2,Inflation,-1.4357,0.785,"{'1%': -3.958, '5%': -3.37, '10%': -3.068}",False
Inflation,MPR,-2.7072,0.197,"{'1%': -3.958, '5%': -3.37, '10%': -3.068}",False
Inflation,ExchangeRate,-3.1588,0.0771,"{'1%': -3.958, '5%': -3.37, '10%': -3.068}",False
Inflation,M2,-3.4217,0.04,"{'1%': -3.958, '5%': -3.37, '10%': -3.068}",True
